Manufacturer,Type,Fin Thickness (mm),Fin Depth (mm),Fin Spacing (mm),Density (kg/m2),Linear Mass (kg/m)
Autex Acoustics,Fins Tundra,12,100,100,2.4,0.24
Autex Acoustics,Fins Tundra,12,150,150,2.4,0.36
Autex Acoustics,Fins Tundra,12,200,200,2.4,0.48
Autex Acoustics,Fins Tundra,12,300,300,2.4,0.72
Autex Acoustics,Fins Tundra,24,100,100,3.6,0.36
Autex Acoustics,Fins Tundra,24,150,150,3.6,0.54
Autex Acoustics,Fins Tundra,24,200,200,3.6,0.72
Autex Acoustics,Fins Tundra,24,300,300,3.6,1.08
Autex Acoustics,Fins Dune,12,300,300,2.4,0.72
Autex Acoustics,Fins Dune,24,300,300,3.6,1.08
Autex Acoustics,Fins Sierra,12,300,300,2.4,0.72
Autex Acoustics,Fins Sierra,24,300,300,3.6,1.08
Autex Acoustics,Fins Talus,12,300,300,2.4,0.72
Autex Acoustics,Fins Talus,24,300,300,3.6,1.08
Autex Acoustics,Fins Axis,12,150,300,2.4,0.36
Autex Acoustics,Raft Beam 100,12,300,150,2.4,0.72
Autex Acoustics,Raft Beam 250,12,600,300,2.4,1.44
Autex Acoustics,Raft Blade,12,600,300,2.4,1.44
Autex Acoustics,Raft Trapezoid,12,600,300,2.4,1.44
