Manufacturer,Name,NRC (ISO 354),Fire Rating (ISO 9705,Width (mm),Height (mm),Length (mm),Spacing (mm),Weight (kgs/m2),Channels Capacity (N)
USG Boral,Simplicity Baffles,,,25,35,3600,100,8.23,600
,,,,25,50,3600,100,8.4,600
,,,,25,75,3600,100,9.69,600
,,,,25,100,3600,100,11.43,600
,,,,25,150,3600,100,17.98,600
,,,,30,100,3600,100,11.34,600
,Slim Baffles,,,15,50,3600,100,7.24,600
,,,,15,75,3600,100,8.66,600
,,,,15,100,3600,100,9.89,600
,,,,15,150,3600,100,17.44,600
,Streamline Baffles,,,25,50,3600,100,8.28,600
,,,,25,75,3600,100,9.61,600
,,,,25,100,3600,100,10.87,600
,,,,25,150,3600,100,17.5,600
Frontier Acoustic,Frontier Axis,0.70,"B - S2, d0",12,150,2400,300,2.4,600
,Frontier Fins,1.00,"B - S2, d0",12,300,2400,100,2.4,600
,Frontier Fins,0.90,"B - S2, d0",12,300,2400,200,2.4,600
,Frontier Fins,0.75,"B - S2, d0",12,300,2400,300,2.4,600
,Frontier Fins,1.05,"B - S2, d2",24,300,2400,100,4.8,600
,Frontier Fins,0.90,"B - S2, d2",24,300,2400,200,4.8,600
,Frontier Fins,0.85,"B - S2, d2",24,300,2400,300,4.8,600
Asona,BB25.01.24,,,25,100,2400,,3,600
,BB25.02.24,,,25,200,2400,,3,600
,BB25.03.24,,,25,300,2400,,3,600
,BB40.015.24,,,40,150,2400,,4.5,600
,BB40.015.24,,,40,150,2400,,4.5,600
,BB40.03.24,,,40,300,2400,,4.5,600
,BB40.03.24,,,40,300,2400,,4.5,600
,BB40.03.24,,,40,300,2400,,4.5,600
,BB50.015.24,,,50,150,2400,,5.4,600
,BB50.02.24,,,50,200,2400,,5.4,600
,BB50.03.24,,,50,300,2400,,5.4,600
,BB50.04.24,,,50,400,2400,,5.4,600
,BB50.04.24,,,50,400,2400,,5.4,600
,BB50.04.24,,,50,400,2400,,5.4,600
,BB50.04.24,,,50,400,2400,,5.4,600
,BB75.02.24,,,75,200,2400,,7.8,600
,BB75.03.24,,,75,300,2400,,7.8,600
,BB75.03.24,,,75,300,2400,,7.8,600
,BB75.05.24,,,75,500,2400,,7.8,600
,BB75.05.24,,,75,500,2400,,7.8,600
,BB100.03.24,,,100,300,2400,,10.2,600
,BB100.03.24,,,100,300,2400,,10.2,600
,BB100.03.24,,,100,300,2400,,10.2,600
