Index,Manufacturer,Name,Edge Type,Thickness (mm),Width (mm),Length (mm),Weight (kg/sqm),NRC,alpha w,Fire Rating,STC,Rw,IIC
0,GIB,Standard Plasterboard,TE/TE,10,1200,2400,7,,,,,,
1,GIB,Standard Plasterboard,TE/TE,10,1200,2700,7,,,,,,
2,GIB,Standard Plasterboard,TE/TE,10,1200,3000,7,,,,,,
3,GIB,Standard Plasterboard,TE/TE,10,1200,3300,7,,,,,,
4,GIB,Standard Plasterboard,TE/TE,10,1200,3600,7,,,,,,
5,GIB,Standard Plasterboard,TE/TE,10,1200,4200,7,,,,,,
6,GIB,Standard Plasterboard,TE/TE,10,1200,4800,7,,,,,,
7,GIB,Standard Plasterboard,TE/TE,10,1200,6000,7,,,,,,
8,GIB,Standard Plasterboard,TE/TE,13,1200,2400,9,,,,,,
9,GIB,Standard Plasterboard,TE/TE,13,1200,2700,9,,,,,,
10,GIB,Standard Plasterboard,TE/TE,13,1200,3000,9,,,,,,
11,GIB,Standard Plasterboard,TE/TE,13,1200,3300,9,,,,,,
12,GIB,Standard Plasterboard,TE/TE,13,1200,3600,9,,,,,,
13,GIB,Standard Plasterboard,TE/TE,13,1200,4200,9,,,,,,
14,GIB,Standard Plasterboard,TE/TE,13,1200,4800,9,,,,,,
15,GIB,Standard Plasterboard,TE/TE,13,1200,6000,9,,,,,,
16,GIB,Standard Plasterboard,TE/SE,10,1200,2400,7,,,,,,
17,GIB,Standard Plasterboard,TE/SE,10,1200,3000,7,,,,,,
18,GIB,Standard Plasterboard,TE/SE,10,1200,3600,7,,,,,,
19,GIB,Standard Plasterboard,TE/SE,10,1200,4200,7,,,,,,
20,GIB,Standard Plasterboard,TE/SE,10,1200,4800,7,,,,,,
21,GIB,Standard Plasterboard,TE/SE,10,1200,6000,7,,,,,,
22,GIB,Standard Plasterboard wideline,TE/SE,10,1350,3600,7,,,,,,
23,GIB,Standard Plasterboard wideline,TE/SE,10,1350,4800,7,,,,,,
24,GIB,Standard Plasterboard wideline,TE/SE,10,1350,6000,7,,,,,,
25,GIB,Standard Plasterboard wideline,TE/SE,13,1350,4800,9,,,,,,
26,GIB,Noiseline,TE/TE,10,1200,2400,9.3,,,,,,
27,GIB,Noiseline,TE/TE,10,1200,2700,9.3,,,,,,
28,GIB,Noiseline,TE/TE,10,1200,3000,9.3,,,,,,
29,GIB,Noiseline,TE/TE,10,1200,3600,9.3,,,,,,
30,GIB,Noiseline,TE/TE,10,1200,4800,9.3,,,,,,
31,GIB,Noiseline,TE/TE,13,1200,2400,12.5,,,,,,
32,GIB,Noiseline,TE/TE,13,1200,2700,12.5,,,,,,
33,GIB,Noiseline,TE/TE,13,1200,3000,12.5,,,,,,
34,GIB,Noiseline,TE/TE,13,1200,3600,12.5,,,,,,
35,GIB,Noiseline,TE/SE,10,1200,4800,9.3,,,,,,
36,GIB,Noiseline,TE/SE,10,1350,4800,9.3,,,,,,
37,GIB,Aqualine,TE/TE,10,1200,2400,8,,,,,,
38,GIB,Aqualine,TE/TE,10,1200,2700,8,,,,,,
39,GIB,Aqualine,TE/TE,10,1200,3000,8,,,,,,
40,GIB,Aqualine,TE/TE,10,1200,3600,8,,,,,,
41,GIB,Aqualine,TE/TE,13,1200,2400,11,,,,,,
42,GIB,Aqualine,TE/TE,13,1200,2700,11,,,,,,
43,GIB,Aqualine,TE/TE,13,1200,3000,11,,,,,,
44,GIB,Aqualine,TE/TE,13,1200,3600,11,,,,,,
45,GIB,Aqualine,TE/SE,10,1200,4800,8,,,,,,
46,GIB,Aqualine,TE/SE,10,1350,3600,8,,,,,,
47,GIB,Ultraline,TE/TE,10,1200,3600,7.5,,,,,,
48,GIB,Ultraline,TE/TE,10,1200,4800,7.5,,,,,,
49,GIB,Ultraline,TE/TE,10,1200,6000,7.5,,,,,,
50,GIB,Ultraline,TE/TE,13,1200,3000,9.1,,,,,,
51,GIB,Ultraline,TE/TE,13,1200,3600,9.1,,,,,,
52,GIB,Ultraline,TE/TE,13,1200,4800,9.1,,,,,,
53,GIB,Ultraline,TE/TE,13,1200,6000,9.1,,,,,,
54,GIB,Fyreline,TE/TE,10,1200,2400,7,,,,,,
55,GIB,Fyreline,TE/TE,10,1200,2700,7,,,,,,
56,GIB,Fyreline,TE/TE,10,1200,3000,7,,,,,,
57,GIB,Fyreline,TE/TE,10,1200,3600,7,,,,,,
58,GIB,Fyreline GBSC 30,TE/TE,13,1200,2400,11,,,,,,
59,GIB,Fyreline GBSC 30,TE/TE,13,1200,2700,11,,,,,,
60,GIB,Fyreline GBSC 30,TE/TE,13,1200,3000,11,,,,,,
61,GIB,Fyreline GBSC 30,TE/TE,13,1200,3300,11,,,,,,
62,GIB,Fyreline GBSC 30,TE/TE,13,1200,3600,11,,,,,,
63,GIB,Fyreline GBSC 60a,TE/TE,13/13,1200,2400,22,,,,,,
64,GIB,Fyreline GBSC 60a,TE/TE,13/13,1200,2700,22,,,,,,
65,GIB,Fyreline GBSC 60a,TE/TE,13/13,1200,3000,22,,,,,,
66,GIB,Fyreline GBSC 60a,TE/TE,13/13,1200,3300,22,,,,,,
67,GIB,Fyreline GBSC 60a,TE/TE,13/13,1200,3600,22,,,,,,
68,GIB,Fyreline GBSC 60b,TE/TE,16,1200,2400,15.3,,,,,,
69,GIB,Fyreline GBSC 60b,TE/TE,16,1200,2700,15.3,,,,,,
70,GIB,Fyreline GBSC 60b,TE/TE,16,1200,3000,15.3,,,,,,
71,GIB,Fyreline GBSC 90,TE/TE,13/16,1200,2400,26.3,,,,,,
72,GIB,Fyreline GBSC 90,TE/TE,13/16,1200,2700,26.3,,,,,,
73,GIB,Fyreline GBSC 90,TE/TE,13/16,1200,3000,26.3,,,,,,
74,GIB,Fyreline GBSCA 45,TE/TE,13/13,1200,2400,22,,,,,,
75,GIB,Fyreline GBSCA 45,TE/TE,13/13,1200,2700,22,,,,,,
76,GIB,Fyreline GBSCA 45,TE/TE,13/13,1200,3000,22,,,,,,
77,GIB,Fyreline GBSCA 45,TE/TE,13/13,1200,3300,22,,,,,,
78,GIB,Fyreline GBSCA 45,TE/TE,13/13,1200,3600,22,,,,,,
79,GIB,Fyreline GBSCA 60a,TE/TE,13/16,1200,2400,26.3,,,,,,
80,GIB,Fyreline GBSCA 60a,TE/TE,13/16,1200,2700,26.3,,,,,,
81,GIB,Fyreline GBSCA 60a,TE/TE,13/16,1200,3000,26.3,,,,,,
82,GIB,Toughline,TE/TE,13,1200,2400,11.7,,,,,,
83,GIB,Toughline,TE/TE,13,1200,2700,11.7,,,,,,
84,GIB,Toughline,TE/TE,13,1200,3000,11.7,,,,,,
85,GIB,Toughline,TE/TE,13,1200,3600,11.7,,,,,,
86,GIB,Toughline Aqua,TE/TE,13,1200,2400,11.4,,,,,,
87,GIB,Toughline Aqua,TE/TE,13,1200,2700,11.4,,,,,,
88,GIB,Toughline Aqua,TE/TE,13,1200,3000,11.4,,,,,,
89,GIB,Barrierline,SE/SE,25,600,3000,20.2,,,,,,
90,GIB,X-Block,TE/TE,13,1200,2400,18.3,,,,,,
91,GIB,X-Block,TE/TE,13,1200,3000,18.3,,,,,,
92,GIB,Quietline,,13,1200,2400,8.3,,,,,,
93,Asona,Knauf Danolife Stratopanel,,12.5,1200,2000,8.7,,,,,,
94,Elephent ,Standard,TE/TE,13,1200,2400,8.9,,,,,,
95,Elephent ,Standard,TE/TE,13,1200,2700,8.9,,,,,,
96,Elephent ,Standard,TE/TE,13,1200,3000,8.9,,,,,,
97,Elephent ,Standard,TE/TE,13,1200,3300,8.9,,,,,,
98,Elephent ,Standard,TE/TE,13,1200,3600,8.9,,,,,,
99,Elephent ,Standard,TE/TE,13,1200,4200,8.9,,,,,,
100,Elephent ,Standard,TE/TE,13,1200,4800,8.9,,,,,,
101,Elephent ,Standard,TE/TE,13,1200,6000,8.9,,,,,,
102,Elephent ,Standard Plus,TE/TE,10,1200,2400,7.4,,,,,,
103,Elephent ,Standard Plus,TE/TE,10,1200,2700,7.4,,,,,,
104,Elephent ,Standard Plus,TE/TE,10,1200,3000,7.4,,,,,,
105,Elephent ,Standard Plus,TE/TE,10,1200,3300,7.4,,,,,,
106,Elephent ,Standard Plus,TE/TE,10,1200,3600,7.4,,,,,,
107,Elephent ,Standard Plus,TE/TE,10,1200,4200,7.4,,,,,,
108,Elephent ,Standard Plus,TE/TE,10,1200,4800,7.4,,,,,,
109,Elephent ,Standard Plus,TE/TE,10,1200,6000,7.4,,,,,,
110,Elephent ,Horizontal Standard Plus,TE/SE,10,1200,2400,7.4,,,,,,
111,Elephent ,Horizontal Standard Plus,TE/SE,10,1200,3000,7.4,,,,,,
112,Elephent ,Horizontal Standard Plus,TE/SE,10,1200,3600,7.4,,,,,,
113,Elephent ,Horizontal Standard Plus,TE/SE,10,1200,4200,7.4,,,,,,
114,Elephent ,Horizontal Standard Plus,TE/SE,10,1200,4800,7.4,,,,,,
115,Elephent ,Horizontal Standard Plus,TE/SE,10,1200,6000,7.4,,,,,,
116,Elephent ,Wide Horizontal Standard,TE/SE,10,1350,3600,7.4,,,,,,
117,Elephent ,Wide Horizontal Standard,TE/SE,10,1350,4800,7.4,,,,,,
118,Elephent ,Wide Horizontal Standard,TE/SE,10,1350,6000,7.4,,,,,,
119,Elephent ,Multismart,TE/TE,10,1200,2400,9,,,,,,
120,Elephent ,Multismart,TE/TE,10,1200,2700,9,,,,,,
121,Elephent ,Multismart,TE/TE,10,1200,3000,9,,,,,,
122,Elephent ,Multismart,TE/TE,10,1200,3600,9,,,,,,
123,Elephent ,Multismart,TE/TE,10,1200,4800,9,,,,,,
124,Elephent ,Horizontal MultiSmart,TE/SE,10,1200,4800,9,,,,,,
125,Elephent ,Multismart,TE/TE,13,1200,2400,11.8,,,,,,
126,Elephent ,Multismart,TE/TE,13,1200,2700,11.8,,,,,,
127,Elephent ,Multismart,TE/TE,13,1200,3000,11.8,,,,,,
128,Elephent ,Multismart,TE/TE,13,1200,3300,11.8,,,,,,
129,Elephent ,Multismart,TE/TE,13,1200,3600,11.8,,,,,,
130,Elephent ,Firesmart (Standard-Plus),TE/TE,10,1200,2400,7.4,,,,,,
131,Elephent ,Firesmart (Standard-Plus),TE/TE,10,1200,2700,7.4,,,,,,
132,Elephent ,Firesmart (Standard-Plus),TE/TE,10,1200,3000,7.4,,,,,,
133,Elephent ,Firesmart (Standard-Plus),TE/TE,10,1200,3300,7.4,,,,,,
134,Elephent ,Firesmart (Standard-Plus),TE/TE,10,1200,3600,7.4,,,,,,
135,Elephent ,Firesmart (Standard-Plus),TE/TE,10,1200,4200,7.4,,,,,,
136,Elephent ,Firesmart (Standard-Plus),TE/TE,10,1200,4800,7.4,,,,,,
137,Elephent ,Firesmart (Standard-Plus),TE/TE,10,1200,6000,7.4,,,,,,
138,Elephent ,Firesmart (Multismart),TE/TE,13,1200,2400,11.8,,,,,,
139,Elephent ,Firesmart (Multismart),TE/TE,13,1200,2700,11.8,,,,,,
140,Elephent ,Firesmart (Multismart),TE/TE,13,1200,3000,11.8,,,,,,
141,Elephent ,Firesmart (Multismart),TE/TE,13,1200,3300,11.8,,,,,,
142,Elephent ,Firesmart (Multismart),TE/TE,13,1200,3600,11.8,,,,,,
143,Elephent ,Firesmart,TE/TE,16,1200,3000,14.2,,,,,,
